Taskset,Algorithm,Number of Tasks,Utilization,Schedulable
tasksets/80-percent/4-tasks/taskset-0,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-0,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-0,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-1,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-1,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-1,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-10,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-10,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-10,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-100,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-100,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-100,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-101,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-101,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-101,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-102,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-102,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-102,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-103,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-103,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-103,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-104,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-104,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-104,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-105,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-105,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-105,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-106,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-106,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-106,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-107,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-107,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-107,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-108,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-108,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-108,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-109,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-109,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-109,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-11,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-11,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-11,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-110,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-110,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-110,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-111,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-111,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-111,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-112,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-112,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-112,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-113,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-113,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-113,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-114,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-114,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-114,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-115,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-115,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-115,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-116,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-116,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-116,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-117,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-117,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-117,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-118,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-118,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-118,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-119,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-119,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-119,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-12,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-12,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-12,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-120,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-120,edf,4,80%,2
tasksets/80-percent/4-tasks/taskset-120,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-121,dm,4,80%,1
tasksets/80-percent/4-tasks/taskset-121,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-121,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-122,dm,4,80%,3
tasksets/80-percent/4-tasks/taskset-122,edf,4,80%,0
tasksets/80-percent/4-tasks/taskset-122,rr,4,80%,2
tasksets/80-percent/4-tasks/taskset-123,dm,4,80%,3
